,asset.name,event_type,asset.owner.user.username,asset.asset_contract.opensea_buyer_fee_basis_points,asset.asset_contract.opensea_seller_fee_basis_points,asset.asset_contract.seller_fee_basis_points
0,0,successful,0,0.0,0.0,0.0
1,A Very Good Novel (Coronavirus),created,0,0.0,250.0,250.0
2,A Very Good Novel (Coronavirus),transfer,0,0.0,250.0,250.0
3,Bitcoinpendium,created,0,0.0,250.0,250.0
4,Bitcoinpendium,transfer,0,0.0,250.0,250.0
5,Bring Back Satire MATIC NFTBook Genesis Series,created,0,0.0,250.0,250.0
6,Bring Back Satire MATIC NFTBook Genesis Series,transfer,0,0.0,250.0,250.0
7,Confessions of a Cryptomaniac,created,0,0.0,250.0,250.0
8,Confessions of a Cryptomaniac,transfer,0,0.0,250.0,250.0
9,Confessions of a Cryptomaniac,transfer,NullAddress,0.0,250.0,1250.0
10,HappyMan,created,0,0.0,250.0,250.0
11,HappyMan,transfer,0,0.0,250.0,250.0
12,Her Bermuda Triangle-Crazed Compass,created,0,0.0,250.0,250.0
13,Her Bermuda Triangle-Crazed Compass,transfer,0,0.0,250.0,250.0
14,How Not To Be A Dick,created,0,0.0,250.0,250.0
15,How Not To Be A Dick,transfer,0,0.0,250.0,250.0
16,How To Not Be A Dick,transfer,NullAddress,0.0,250.0,1250.0
17,The Conflict Algorithm Part I,created,0,0.0,500.0,500.0
18,The Conflict Algorithm Part I,transfer,0,0.0,250.0,250.0
19,The Ecstasy of Nothing,created,0,0.0,250.0,250.0
20,The Ecstasy of Nothing,successful,0,0.0,250.0,250.0
21,The Ecstasy of Nothing,transfer,0,0.0,500.0,500.0
22,The Ecstasy of Nothing,transfer,NullAddress,0.0,250.0,1250.0
23,The Ivori Palms,created,0,0.0,250.0,250.0
24,The Millennial Mentality,created,0,0.0,250.0,250.0
25,The Millennial Mentality,transfer,0,0.0,1750.0,1750.0
26,The Price of Bliss Eternal,created,0,0.0,250.0,250.0
27,The Price of Bliss Eternal,transfer,0,0.0,500.0,500.0
28,The Willow Tree,created,0,0.0,500.0,500.0
29,The Willow Tree,transfer,0,0.0,2250.0,2250.0
30,crypto.,created,0,0.0,250.0,250.0
31,crypto.,transfer,0,0.0,250.0,250.0
